"Year","Region","County Name","Gender Name","Enrollment by Gender"
"2017-2018",07,"VAN ZANDT COUNTY/07","Female",2726
"2017-2018",07,"VAN ZANDT COUNTY/07","Male",2874
"2017-2018",10,"VAN ZANDT COUNTY/10","Female",2343
"2017-2018",10,"VAN ZANDT COUNTY/10","Male",2256
"2017-2018","AL","VAN ZANDT COUNTY/ALL","Female",5069
"2017-2018","AL","VAN ZANDT COUNTY/ALL","Male",5130
"2017-2018",03,"VICTORIA COUNTY","Female",7422
"2017-2018",03,"VICTORIA COUNTY","Male",7864
"2017-2018",06,"WALKER COUNTY","Female",4841
"2017-2018",06,"WALKER COUNTY","Male",4746
"2017-2018",04,"WALLER COUNTY","Female",5445
"2017-2018",04,"WALLER COUNTY","Male",5727
"2017-2018",18,"WARD COUNTY","Female",1258
"2017-2018",18,"WARD COUNTY","Male",1232
"2017-2018",06,"WASHINGTON COUNTY","Female",2573
"2017-2018",06,"WASHINGTON COUNTY","Male",2906
"2017-2018",01,"WEBB COUNTY","Female",33129
"2017-2018",01,"WEBB COUNTY","Male",34841
"2017-2018",03,"WHARTON COUNTY","Female",4040
"2017-2018",03,"WHARTON COUNTY","Male",4329
"2017-2018",16,"WHEELER COUNTY","Female",515
"2017-2018",16,"WHEELER COUNTY","Male",595
"2017-2018",09,"WICHITA COUNTY","Female",10039
"2017-2018",09,"WICHITA COUNTY","Male",10617
"2017-2018",09,"WILBARGER COUNTY","Female",1178
"2017-2018",09,"WILBARGER COUNTY","Male",1150
"2017-2018",01,"WILLACY COUNTY","Female",2100
"2017-2018",01,"WILLACY COUNTY","Male",2211
"2017-2018",13,"WILLIAMSON COUNTY","Female",58186
"2017-2018",13,"WILLIAMSON COUNTY","Male",61885
"2017-2018",20,"WILSON COUNTY","Female",4331
"2017-2018",20,"WILSON COUNTY","Male",4731
"2017-2018",18,"WINKLER COUNTY","Female",892
"2017-2018",18,"WINKLER COUNTY","Male",960
"2017-2018",11,"WISE COUNTY","Female",4579
"2017-2018",11,"WISE COUNTY","Male",4914
"2017-2018",07,"WOOD COUNTY","Female",3087
"2017-2018",07,"WOOD COUNTY","Male",3136
"2017-2018",17,"YOAKUM COUNTY","Female",1038
"2017-2018",17,"YOAKUM COUNTY","Male",1099
"2017-2018",09,"YOUNG COUNTY","Female",1627
"2017-2018",09,"YOUNG COUNTY","Male",1684
"2017-2018",01,"ZAPATA COUNTY","Female",1631
"2017-2018",01,"ZAPATA COUNTY","Male",1890
"2017-2018",20,"ZAVALA COUNTY","Female",1185
"2017-2018",20,"ZAVALA COUNTY","Male",1255

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

