"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","GENDER","CHARTER STATUS","GRADE","ENROLLMENT"
"2018-2019",10,"DALLAS COUNTY",057903,"CARROLLTON-FARMERS BRANCH ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",768
"2018-2019",10,"DALLAS COUNTY",057903,"CARROLLTON-FARMERS BRANCH ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",816
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Early Education",-999
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Early Education",-999
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",200
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",230
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",214
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",213
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",229
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",267
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",209
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",271
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",283
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",295
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",269
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",316
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",264
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",316
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",314
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",364
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",302
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",309
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",335
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",395
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",313
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",346
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",325
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",291
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",329
"2018-2019",10,"DALLAS COUNTY",057904,"CEDAR HILL ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",313
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Early Education",80
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Early Education",182
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",6300
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",6456
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",5292
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",5667
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",5474
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",5752
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",5531
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",5762
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",5634
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",5876
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",5967
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",6219
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",5949
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",6293
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",5368
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",5749
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",5108
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",5430
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",5004
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",5418
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",5879
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",6230
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",5251
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",5324
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",4791
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",4556
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",4462
"2018-2019",10,"DALLAS COUNTY",057905,"DALLAS ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",4115
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Early Education",-999
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Early Education",-999
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",241
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",257
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",-999
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",-999
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",251
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",244
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",277
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",315
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",285
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",275
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",311
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",342
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",315
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",343
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",331
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",394
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",365
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",408
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",337
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",429
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",408
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",476
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",416
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",418
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",381
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",370
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",369
"2018-2019",10,"DALLAS COUNTY",057906,"DESOTO ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",342
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Early Education",12
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Early Education",44
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",172
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",163
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",301
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",344
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",351
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",382
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",347
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",391
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",387
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",438
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",430
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",495
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",446
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",437
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",490
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",495
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",516
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",503
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",509
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",535
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",583
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",611
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",587
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",524
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",558
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",599
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",538
"2018-2019",10,"DALLAS COUNTY",057907,"DUNCANVILLE ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",512
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Early Education",80
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Early Education",197
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",931
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",1019
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",1713
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",1866
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",1806
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",1977
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",1783
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",1973
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",1906
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",1990
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",2009
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",2132
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",2193
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",2258
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",2084
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",2279
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",2050
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",2130
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",2044
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",2243
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",2168
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",2484
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",2103
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",2284
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",2010
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",2164
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",1970
"2018-2019",10,"DALLAS COUNTY",057909,"GARLAND ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",2141
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Early Education",58
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Early Education",74
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",767
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",750
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",876
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",905
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",952
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",985
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",983
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",994
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",982
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",964
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",1112
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",1130
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",1071
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",1167
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",1104
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",1078
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",1061
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",1053
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",1023
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",1040
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",1296
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",1258
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",1168
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",1238
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",1099
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",1126
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",995
"2018-2019",10,"DALLAS COUNTY",057910,"GRAND PRAIRIE ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",891
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Early Education",12
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Early Education",21
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",16
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",16
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",218
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",208
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",228
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",229
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",200
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",256
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",257
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",277
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",270
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",266
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",242
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",275
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",286
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",283
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",292
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",280
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",265
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",295
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",279
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",274
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",266
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",293
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",260
"2018-2019",10,"DALLAS COUNTY",057911,"HIGHLAND PARK ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",267
