"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Gender Name","Enrollment by Gender"
"2017-2018",04,"WALLER COUNTY","WALLER ISD",237904,"EVELYN TURLINGTON EL",237904107,"ELEMENTARY","Male",398
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"EVERETTE LEE DEGOLYER EL",057905135,"ELEMENTARY","Female",173
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"EVERETTE LEE DEGOLYER EL",057905135,"ELEMENTARY","Male",192
"2017-2018",11,"TARRANT COUNTY","EVERMAN ISD",220904,"EVERMAN ACADEMY H S",220904003,"HIGH SCHOOL","Female",37
"2017-2018",11,"TARRANT COUNTY","EVERMAN ISD",220904,"EVERMAN ACADEMY H S",220904003,"HIGH SCHOOL","Male",30
"2017-2018",11,"TARRANT COUNTY","EVERMAN ISD",220904,"EVERMAN H S",220904001,"HIGH SCHOOL","Female",745
"2017-2018",11,"TARRANT COUNTY","EVERMAN ISD",220904,"EVERMAN H S",220904001,"HIGH SCHOOL","Male",770
"2017-2018",20,"BEXAR COUNTY","NORTHSIDE ISD",015915,"EVERS EL",015915156,"ELEMENTARY","Female",405
"2017-2018",20,"BEXAR COUNTY","NORTHSIDE ISD",015915,"EVERS EL",015915156,"ELEMENTARY","Male",439
"2017-2018",11,"DENTON COUNTY","DENTON ISD",061901,"EVERS PARK EL",061901112,"ELEMENTARY","Female",292
"2017-2018",11,"DENTON COUNTY","DENTON ISD",061901,"EVERS PARK EL",061901112,"ELEMENTARY","Male",282
"2017-2018",10,"DALLAS COUNTY","EVOLUTION ACADEMY CHARTER SCHOOL",057834,"EVOLUTION ACADEMY BEAUMONT",057834003,"HIGH SCHOOL","Female",101
"2017-2018",10,"DALLAS COUNTY","EVOLUTION ACADEMY CHARTER SCHOOL",057834,"EVOLUTION ACADEMY BEAUMONT",057834003,"HIGH SCHOOL","Male",70
"2017-2018",10,"DALLAS COUNTY","EVOLUTION ACADEMY CHARTER SCHOOL",057834,"EVOLUTION ACADEMY CHARTER SCHOOL",057834001,"HIGH SCHOOL","Female",161
"2017-2018",10,"DALLAS COUNTY","EVOLUTION ACADEMY CHARTER SCHOOL",057834,"EVOLUTION ACADEMY CHARTER SCHOOL",057834001,"HIGH SCHOOL","Male",188
"2017-2018",10,"DALLAS COUNTY","EVOLUTION ACADEMY CHARTER SCHOOL",057834,"EVOLUTION ACADEMY HOUSTON",057834004,"HIGH SCHOOL","Female",125
"2017-2018",10,"DALLAS COUNTY","EVOLUTION ACADEMY CHARTER SCHOOL",057834,"EVOLUTION ACADEMY HOUSTON",057834004,"HIGH SCHOOL","Male",164
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"EWELL D WALKER MIDDLE",057905056,"MIDDLE SCHOOL","Female",364
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"EWELL D WALKER MIDDLE",057905056,"MIDDLE SCHOOL","Male",397
"2017-2018",04,"HARRIS COUNTY","PASADENA ISD",101917,"EXCEL ACADEMY (JJAEP)",101917012,"ELEMENTARY / SECONDARY","Female",-9999999
"2017-2018",04,"HARRIS COUNTY","PASADENA ISD",101917,"EXCEL ACADEMY (JJAEP)",101917012,"ELEMENTARY / SECONDARY","Male",6
"2017-2018",04,"HARRIS COUNTY","GOOSE CREEK CISD",101911,"EXCEL ACADEMY (MURWORTH)",101911014,"ELEMENTARY / SECONDARY","Male",-9999999
"2017-2018",04,"HARRIS COUNTY","EXCEL ACADEMY",101811,"EXCEL ACADEMY EDUCATION TRANSITION",101811008,"HIGH SCHOOL","Female",6
"2017-2018",04,"HARRIS COUNTY","EXCEL ACADEMY",101811,"EXCEL ACADEMY EDUCATION TRANSITION",101811008,"HIGH SCHOOL","Male",26
"2017-2018",13,"TRAVIS COUNTY","THE EXCEL CENTER",227828,"EXCEL CENTER LOCKHART",227828002,"HIGH SCHOOL","Female",13
"2017-2018",07,"GREGG COUNTY","PINE TREE ISD",092904,"EXCEL H S OF CHOICE",092904003,"HIGH SCHOOL","Female",22
"2017-2018",07,"GREGG COUNTY","PINE TREE ISD",092904,"EXCEL H S OF CHOICE",092904003,"HIGH SCHOOL","Male",19
"2017-2018",01,"HIDALGO COUNTY","EXCELLENCE IN LEADERSHIP ACADEMY",108809,"EXCELLENCE IN LEADERSHIP ACADEMY",108809001,"ELEMENTARY / SECONDARY","Female",117
"2017-2018",01,"HIDALGO COUNTY","EXCELLENCE IN LEADERSHIP ACADEMY",108809,"EXCELLENCE IN LEADERSHIP ACADEMY",108809001,"ELEMENTARY / SECONDARY","Male",114
"2017-2018",07,"SHELBY COUNTY","EXCELSIOR ISD",210906,"EXCELSIOR EL",210906101,"ELEMENTARY","Female",46
"2017-2018",07,"SHELBY COUNTY","EXCELSIOR ISD",210906,"EXCELSIOR EL",210906101,"ELEMENTARY","Male",49
"2017-2018",03,"LAVACA COUNTY","EZZELL ISD",143906,"EZZELL EL",143906101,"ELEMENTARY","Female",59
"2017-2018",03,"LAVACA COUNTY","EZZELL ISD",143906,"EZZELL EL",143906101,"ELEMENTARY","Male",44
"2017-2018",01,"HIDALGO COUNTY","WESLACO ISD",108913,"F D ROOSEVELT EL",108913102,"ELEMENTARY","Female",260
"2017-2018",01,"HIDALGO COUNTY","WESLACO ISD",108913,"F D ROOSEVELT EL",108913102,"ELEMENTARY","Male",282
"2017-2018",07,"SHELBY COUNTY","CENTER ISD",210901,"F L MOFFETT PRI",210901104,"ELEMENTARY","Female",203
"2017-2018",07,"SHELBY COUNTY","CENTER ISD",210901,"F L MOFFETT PRI",210901104,"ELEMENTARY","Male",231
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"F P CAILLET EL",057905120,"ELEMENTARY","Female",345
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"F P CAILLET EL",057905120,"ELEMENTARY","Male",332
"2017-2018",01,"WEBB COUNTY","LAREDO ISD",240901,"F S LARA ACADEMY",240901007,"ELEMENTARY / SECONDARY","Female",19
"2017-2018",01,"WEBB COUNTY","LAREDO ISD",240901,"F S LARA ACADEMY",240901007,"ELEMENTARY / SECONDARY","Male",51
"2017-2018",03,"VICTORIA COUNTY","VICTORIA ISD",235902,"F W GROSS EL",235902103,"ELEMENTARY","Female",135
"2017-2018",03,"VICTORIA COUNTY","VICTORIA ISD",235902,"F W GROSS EL",235902103,"ELEMENTARY","Male",170
"2017-2018",19,"EL PASO COUNTY","FABENS ISD",071903,"FABENS EL",071903105,"ELEMENTARY","Female",324
"2017-2018",19,"EL PASO COUNTY","FABENS ISD",071903,"FABENS EL",071903105,"ELEMENTARY","Male",346
"2017-2018",19,"EL PASO COUNTY","FABENS ISD",071903,"FABENS H S",071903001,"HIGH SCHOOL","Female",375
"2017-2018",19,"EL PASO COUNTY","FABENS ISD",071903,"FABENS H S",071903001,"HIGH SCHOOL","Male",386
"2017-2018",19,"EL PASO COUNTY","FABENS ISD",071903,"FABENS MIDDLE SCHOOL",071903041,"MIDDLE SCHOOL","Female",226
"2017-2018",19,"EL PASO COUNTY","FABENS ISD",071903,"FABENS MIDDLE SCHOOL",071903041,"MIDDLE SCHOOL","Male",273
"2017-2018",20,"KENDALL COUNTY","BOERNE ISD",130901,"FABRA EL",130901102,"ELEMENTARY","Female",294
"2017-2018",20,"KENDALL COUNTY","BOERNE ISD",130901,"FABRA EL",130901102,"ELEMENTARY","Male",324
"2017-2018",02,"BEE COUNTY","BEEVILLE ISD",013901,"FADDEN-MCKEOWN-CHAMBLISS EL",013901102,"ELEMENTARY","Female",223
"2017-2018",02,"BEE COUNTY","BEEVILLE ISD",013901,"FADDEN-MCKEOWN-CHAMBLISS EL",013901102,"ELEMENTARY","Male",248
"2017-2018",09,"WICHITA COUNTY","WICHITA FALLS ISD",243905,"FAIN EL",243905109,"ELEMENTARY","Female",245
"2017-2018",09,"WICHITA COUNTY","WICHITA FALLS ISD",243905,"FAIN EL",243905109,"ELEMENTARY","Male",260
"2017-2018",20,"KENDALL COUNTY","BOERNE ISD",130901,"FAIR OAKS RANCH EL",130901103,"ELEMENTARY","Female",481
"2017-2018",20,"KENDALL COUNTY","BOERNE ISD",130901,"FAIR OAKS RANCH EL",130901103,"ELEMENTARY","Male",522
"2017-2018",12,"FREESTONE COUNTY","FAIRFIELD ISD",081902,"FAIRFIELD EL",081902101,"ELEMENTARY","Female",229
"2017-2018",12,"FREESTONE COUNTY","FAIRFIELD ISD",081902,"FAIRFIELD EL",081902101,"ELEMENTARY","Male",220
"2017-2018",12,"FREESTONE COUNTY","FAIRFIELD ISD",081902,"FAIRFIELD H S",081902002,"HIGH SCHOOL","Female",275
"2017-2018",12,"FREESTONE COUNTY","FAIRFIELD ISD",081902,"FAIRFIELD H S",081902002,"HIGH SCHOOL","Male",262
"2017-2018",12,"FREESTONE COUNTY","FAIRFIELD ISD",081902,"FAIRFIELD INT",081902043,"ELEMENTARY","Female",203
"2017-2018",12,"FREESTONE COUNTY","FAIRFIELD ISD",081902,"FAIRFIELD INT",081902043,"ELEMENTARY","Male",230
"2017-2018",12,"FREESTONE COUNTY","FAIRFIELD ISD",081902,"FAIRFIELD J H",081902041,"MIDDLE SCHOOL","Female",193
"2017-2018",12,"FREESTONE COUNTY","FAIRFIELD ISD",081902,"FAIRFIELD J H",081902041,"MIDDLE SCHOOL","Male",205
"2017-2018",10,"DALLAS COUNTY","DUNCANVILLE ISD",057907,"FAIRMEADOWS EL",057907102,"ELEMENTARY","Female",205
"2017-2018",10,"DALLAS COUNTY","DUNCANVILLE ISD",057907,"FAIRMEADOWS EL",057907102,"ELEMENTARY","Male",277
"2017-2018",04,"HARRIS COUNTY","DEER PARK ISD",101908,"FAIRMONT ELEMENTARY",101908108,"ELEMENTARY","Female",396
"2017-2018",04,"HARRIS COUNTY","DEER PARK ISD",101908,"FAIRMONT ELEMENTARY",101908108,"ELEMENTARY","Male",432
"2017-2018",04,"HARRIS COUNTY","DEER PARK ISD",101908,"FAIRMONT J H",101908044,"MIDDLE SCHOOL","Female",364
"2017-2018",04,"HARRIS COUNTY","DEER PARK ISD",101908,"FAIRMONT J H",101908044,"MIDDLE SCHOOL","Male",335
"2017-2018",15,"COKE COUNTY","ROBERT LEE ISD",041902,"FAIRVIEW ACCELERATED",041902002,"ELEMENTARY / SECONDARY","Female",-9999999
"2017-2018",15,"RUNNELS COUNTY","BALLINGER ISD",200901,"FAIRVIEW ACCELERATED",200901003,"HIGH SCHOOL","Female",-9999999
"2017-2018",15,"STERLING COUNTY","STERLING CITY ISD",216901,"FAIRVIEW ACCELERATED",216901002,"ELEMENTARY / SECONDARY","Female",-9999999
"2017-2018",15,"TOM GREEN COUNTY","CHRISTOVAL ISD",226901,"FAIRVIEW ACCELERATED",226901002,"ELEMENTARY / SECONDARY","Female",-9999999
"2017-2018",15,"TOM GREEN COUNTY","GRAPE CREEK ISD",226907,"FAIRVIEW ACCELERATED",226907002,"ELEMENTARY / SECONDARY","Female",-9999999
"2017-2018",15,"TOM GREEN COUNTY","VERIBEST ISD",226908,"FAIRVIEW ACCELERATED",226908002,"HIGH SCHOOL","Female",-9999999
"2017-2018",15,"TOM GREEN COUNTY","WALL ISD",226906,"FAIRVIEW ACCELERATED",226906002,"HIGH SCHOOL","Female",-9999999
"2017-2018",15,"COKE COUNTY","ROBERT LEE ISD",041902,"FAIRVIEW ACCELERATED",041902002,"ELEMENTARY / SECONDARY","Male",-9999999
"2017-2018",15,"RUNNELS COUNTY","BALLINGER ISD",200901,"FAIRVIEW ACCELERATED",200901005,"ELEMENTARY / SECONDARY","Male",-9999999
"2017-2018",15,"TOM GREEN COUNTY","CHRISTOVAL ISD",226901,"FAIRVIEW ACCELERATED",226901002,"ELEMENTARY / SECONDARY","Male",-9999999
"2017-2018",15,"TOM GREEN COUNTY","GRAPE CREEK ISD",226907,"FAIRVIEW ACCELERATED",226907002,"ELEMENTARY / SECONDARY","Male",6
"2017-2018",15,"TOM GREEN COUNTY","WALL ISD",226906,"FAIRVIEW ACCELERATED",226906002,"HIGH SCHOOL","Male",-9999999
"2017-2018",15,"CONCHO COUNTY","PAINT ROCK ISD",048903,"FAIRVIEW ACCELERATED EDUCATIONAL C",048903002,"ELEMENTARY / SECONDARY","Male",-9999999
"2017-2018",15,"TOM GREEN COUNTY","CHRISTOVAL ISD",226901,"FAIRVIEW DAEP",226901005,"HIGH SCHOOL","Female",-9999999
"2017-2018",10,"GRAYSON COUNTY","SHERMAN ISD",091906,"FAIRVIEW EL",091906105,"ELEMENTARY","Female",211
"2017-2018",10,"GRAYSON COUNTY","SHERMAN ISD",091906,"FAIRVIEW EL",091906105,"ELEMENTARY","Male",207
"2017-2018",04,"BRAZORIA COUNTY","ALVIN ISD",020901,"FAIRVIEW J H",020901046,"MIDDLE SCHOOL","Female",346
"2017-2018",04,"BRAZORIA COUNTY","ALVIN ISD",020901,"FAIRVIEW J H",020901046,"MIDDLE SCHOOL","Male",377
"2017-2018",15,"CONCHO COUNTY","PAINT ROCK ISD",048903,"FAIRVIEW SCHOOL (DAEP)",048903005,"ELEMENTARY / SECONDARY","Female",-9999999
"2017-2018",15,"COKE COUNTY","ROBERT LEE ISD",041902,"FAIRVIEW SPECIAL PROGRAMS",041902195,"ELEMENTARY / SECONDARY","Female",-9999999
"2017-2018",15,"TOM GREEN COUNTY","WATER VALLEY ISD",226905,"FAIRVIEW SPECIAL PROGRAMS",226905195,"ELEMENTARY / SECONDARY","Female",-9999999
"2017-2018",15,"COKE COUNTY","ROBERT LEE ISD",041902,"FAIRVIEW SPECIAL PROGRAMS",041902195,"ELEMENTARY / SECONDARY","Male",-9999999
"2017-2018",15,"CONCHO COUNTY","PAINT ROCK ISD",048903,"FAIRVIEW SPECIAL PROGRAMS",048903195,"ELEMENTARY / SECONDARY","Male",-9999999
"2017-2018",15,"TOM GREEN COUNTY","WATER VALLEY ISD",226905,"FAIRVIEW SPECIAL PROGRAMS",226905195,"ELEMENTARY / SECONDARY","Male",5
"2017-2018",12,"CORYELL COUNTY","COPPERAS COVE ISD",050910,"FAIRVIEW/MISS JEWELL EL",050910101,"ELEMENTARY","Female",241
"2017-2018",12,"CORYELL COUNTY","COPPERAS COVE ISD",050910,"FAIRVIEW/MISS JEWELL EL",050910101,"ELEMENTARY","Male",238
"2017-2018",10,"ELLIS COUNTY","WAXAHACHIE FAITH FAMILY ACADEMY",070801,"FAITH FAMILY MASTER ACADEMY",070801041,"ELEMENTARY","Female",175
"2017-2018",10,"ELLIS COUNTY","WAXAHACHIE FAITH FAMILY ACADEMY",070801,"FAITH FAMILY MASTER ACADEMY",070801041,"ELEMENTARY","Male",119
"2017-2018",04,"GALVESTON COUNTY","CLEAR CREEK ISD",084910,"FALCON PASS EL",084910124,"ELEMENTARY","Female",313
"2017-2018",04,"GALVESTON COUNTY","CLEAR CREEK ISD",084910,"FALCON PASS EL",084910124,"ELEMENTARY","Male",306
"2017-2018",02,"BROOKS COUNTY","BROOKS COUNTY ISD",024901,"FALFURRIAS EL",024901101,"ELEMENTARY","Female",214
"2017-2018",02,"BROOKS COUNTY","BROOKS COUNTY ISD",024901,"FALFURRIAS EL",024901101,"ELEMENTARY","Male",247
"2017-2018",02,"BROOKS COUNTY","BROOKS COUNTY ISD",024901,"FALFURRIAS H S",024901001,"HIGH SCHOOL","Female",207
"2017-2018",02,"BROOKS COUNTY","BROOKS COUNTY ISD",024901,"FALFURRIAS H S",024901001,"HIGH SCHOOL","Male",198
"2017-2018",02,"BROOKS COUNTY","BROOKS COUNTY ISD",024901,"FALFURRIAS J H",024901041,"MIDDLE SCHOOL","Female",167
"2017-2018",02,"BROOKS COUNTY","BROOKS COUNTY ISD",024901,"FALFURRIAS J H",024901041,"MIDDLE SCHOOL","Male",173
"2017-2018",04,"HARRIS COUNTY","HUMBLE ISD",101913,"FALL CREEK EL",101913124,"ELEMENTARY","Female",517
"2017-2018",04,"HARRIS COUNTY","HUMBLE ISD",101913,"FALL CREEK EL",101913124,"ELEMENTARY","Male",497
"2017-2018",14,"TAYLOR COUNTY","TEXAS COLLEGE PREPARATORY ACADEMIE",221801,"FALLBROOK ACADEMY",221801065,"ELEMENTARY / SECONDARY","Female",160
"2017-2018",14,"TAYLOR COUNTY","TEXAS COLLEGE PREPARATORY ACADEMIE",221801,"FALLBROOK ACADEMY",221801065,"ELEMENTARY / SECONDARY","Male",141
"2017-2018",13,"BURNET COUNTY","MARBLE FALLS ISD",027904,"FALLS CAREER H S",027904002,"HIGH SCHOOL","Female",29
"2017-2018",13,"BURNET COUNTY","MARBLE FALLS ISD",027904,"FALLS CAREER H S",027904002,"HIGH SCHOOL","Male",20
"2017-2018",20,"KARNES COUNTY","FALLS CITY ISD",128904,"FALLS CITY EL",128904101,"ELEMENTARY","Female",94
"2017-2018",20,"KARNES COUNTY","FALLS CITY ISD",128904,"FALLS CITY EL",128904101,"ELEMENTARY","Male",105
"2017-2018",20,"KARNES COUNTY","FALLS CITY ISD",128904,"FALLS CITY H S",128904001,"HIGH SCHOOL","Female",76
"2017-2018",20,"KARNES COUNTY","FALLS CITY ISD",128904,"FALLS CITY H S",128904001,"HIGH SCHOOL","Male",85
"2017-2018",03,"VICTORIA COUNTY","VICTORIA ISD",235902,"FAMILY CONNECTION - CHILD DEVELOPM",235902124,"ELEMENTARY","Female",-9999999
"2017-2018",03,"VICTORIA COUNTY","VICTORIA ISD",235902,"FAMILY CONNECTION - CHILD DEVELOPM",235902124,"ELEMENTARY","Male",-9999999
"2017-2018",02,"NUECES COUNTY","CORPUS CHRISTI ISD",178904,"FANNIN EL",178904111,"ELEMENTARY","Female",188
"2017-2018",06,"BRAZOS COUNTY","BRYAN ISD",021902,"FANNIN EL",021902106,"ELEMENTARY","Female",224
"2017-2018",12,"NAVARRO COUNTY","CORSICANA ISD",175903,"FANNIN EL",175903103,"ELEMENTARY","Female",234
"2017-2018",15,"TOM GREEN COUNTY","SAN ANGELO ISD",226903,"FANNIN EL",226903110,"ELEMENTARY","Female",184
"2017-2018",18,"MIDLAND COUNTY","MIDLAND ISD",165901,"FANNIN EL",165901107,"ELEMENTARY","Female",275
"2017-2018",19,"EL PASO COUNTY","EL PASO ISD",071902,"FANNIN EL",071902116,"ELEMENTARY","Female",245
"2017-2018",02,"NUECES COUNTY","CORPUS CHRISTI ISD",178904,"FANNIN EL",178904111,"ELEMENTARY","Male",262
"2017-2018",06,"BRAZOS COUNTY","BRYAN ISD",021902,"FANNIN EL",021902106,"ELEMENTARY","Male",236
"2017-2018",12,"NAVARRO COUNTY","CORSICANA ISD",175903,"FANNIN EL",175903103,"ELEMENTARY","Male",236
"2017-2018",15,"TOM GREEN COUNTY","SAN ANGELO ISD",226903,"FANNIN EL",226903110,"ELEMENTARY","Male",179
"2017-2018",18,"MIDLAND COUNTY","MIDLAND ISD",165901,"FANNIN EL",165901107,"ELEMENTARY","Male",304
"2017-2018",19,"EL PASO COUNTY","EL PASO ISD",071902,"FANNIN EL",071902116,"ELEMENTARY","Male",266
"2017-2018",16,"POTTER COUNTY","AMARILLO ISD",188901,"FANNIN MIDDLE",188901044,"MIDDLE SCHOOL","Female",340
"2017-2018",16,"POTTER COUNTY","AMARILLO ISD",188901,"FANNIN MIDDLE",188901044,"MIDDLE SCHOOL","Male",338
"2017-2018",08,"DELTA COUNTY","FANNINDEL ISD",060914,"FANNINDEL EL",060914102,"ELEMENTARY","Female",52
"2017-2018",08,"DELTA COUNTY","FANNINDEL ISD",060914,"FANNINDEL EL",060914102,"ELEMENTARY","Male",35
"2017-2018",08,"DELTA COUNTY","FANNINDEL ISD",060914,"FANNINDEL H S",060914001,"ELEMENTARY / SECONDARY","Female",39
"2017-2018",08,"DELTA COUNTY","FANNINDEL ISD",060914,"FANNINDEL H S",060914001,"ELEMENTARY / SECONDARY","Male",48
"2017-2018",04,"HARRIS COUNTY","HOUSTON ISD",101912,"FARIAS EARLY CHILDHOOD CENTER",101912352,"ELEMENTARY","Female",211
"2017-2018",04,"HARRIS COUNTY","HOUSTON ISD",101912,"FARIAS EARLY CHILDHOOD CENTER",101912352,"ELEMENTARY","Male",220
"2017-2018",01,"WEBB COUNTY","LAREDO ISD",240901,"FARIAS EL",240901105,"ELEMENTARY","Female",322
"2017-2018",01,"WEBB COUNTY","LAREDO ISD",240901,"FARIAS EL",240901105,"ELEMENTARY","Male",333
"2017-2018",10,"DALLAS COUNTY","IRVING ISD",057912,"FARINE EL",057912113,"ELEMENTARY","Female",364
"2017-2018",10,"DALLAS COUNTY","IRVING ISD",057912,"FARINE EL",057912113,"ELEMENTARY","Male",392
"2017-2018",13,"WILLIAMSON COUNTY","HUTTO ISD",246906,"FARLEY MIDDLE",246906042,"MIDDLE SCHOOL","Female",408
"2017-2018",13,"WILLIAMSON COUNTY","HUTTO ISD",246906,"FARLEY MIDDLE",246906042,"MIDDLE SCHOOL","Male",484
"2017-2018",10,"DALLAS COUNTY","CARROLLTON-FARMERS BRANCH ISD",057903,"FARMERS BRANCH EL",057903109,"ELEMENTARY","Female",270
"2017-2018",10,"DALLAS COUNTY","CARROLLTON-FARMERS BRANCH ISD",057903,"FARMERS BRANCH EL",057903109,"ELEMENTARY","Male",280
"2017-2018",10,"COLLIN COUNTY","FARMERSVILLE ISD",043904,"FARMERSVILLE H S",043904001,"HIGH SCHOOL","Female",249
"2017-2018",10,"COLLIN COUNTY","FARMERSVILLE ISD",043904,"FARMERSVILLE H S",043904001,"HIGH SCHOOL","Male",259
"2017-2018",10,"COLLIN COUNTY","FARMERSVILLE ISD",043904,"FARMERSVILLE INT",043904102,"ELEMENTARY","Female",252
"2017-2018",10,"COLLIN COUNTY","FARMERSVILLE ISD",043904,"FARMERSVILLE INT",043904102,"ELEMENTARY","Male",225
"2017-2018",10,"COLLIN COUNTY","FARMERSVILLE ISD",043904,"FARMERSVILLE J H",043904041,"MIDDLE SCHOOL","Female",211
"2017-2018",10,"COLLIN COUNTY","FARMERSVILLE ISD",043904,"FARMERSVILLE J H",043904041,"MIDDLE SCHOOL","Male",207
"2017-2018",04,"HARRIS COUNTY","CYPRESS-FAIRBANKS ISD",101907,"FARNEY EL",101907135,"ELEMENTARY","Female",540
"2017-2018",04,"HARRIS COUNTY","CYPRESS-FAIRBANKS ISD",101907,"FARNEY EL",101907135,"ELEMENTARY","Male",542
"2017-2018",11,"TARRANT COUNTY","ARLINGTON ISD",220901,"FARRELL EL",220901143,"ELEMENTARY","Female",315
"2017-2018",11,"TARRANT COUNTY","ARLINGTON ISD",220901,"FARRELL EL",220901143,"ELEMENTARY","Male",336
"2017-2018",09,"WICHITA COUNTY","WICHITA FALLS ISD",243905,"FARRIS EARLY CHILDHOOD CTR",243905130,"ELEMENTARY","Female",98
"2017-2018",09,"WICHITA COUNTY","WICHITA FALLS ISD",243905,"FARRIS EARLY CHILDHOOD CTR",243905130,"ELEMENTARY","Male",113
"2017-2018",16,"PARMER COUNTY","FARWELL ISD",185902,"FARWELL EL",185902101,"ELEMENTARY","Female",144
"2017-2018",16,"PARMER COUNTY","FARWELL ISD",185902,"FARWELL EL",185902101,"ELEMENTARY","Male",123
"2017-2018",16,"PARMER COUNTY","FARWELL ISD",185902,"FARWELL H S",185902001,"HIGH SCHOOL","Female",68
"2017-2018",16,"PARMER COUNTY","FARWELL ISD",185902,"FARWELL H S",185902001,"HIGH SCHOOL","Male",79
"2017-2018",16,"PARMER COUNTY","FARWELL ISD",185902,"FARWELL J H",185902041,"MIDDLE SCHOOL","Female",53
"2017-2018",16,"PARMER COUNTY","FARWELL ISD",185902,"FARWELL J H",185902041,"MIDDLE SCHOOL","Male",72
"2017-2018",10,"COLLIN COUNTY","MCKINNEY ISD",043907,"FAUBION MIDDLE",043907041,"MIDDLE SCHOOL","Female",654
"2017-2018",10,"COLLIN COUNTY","MCKINNEY ISD",043907,"FAUBION MIDDLE",043907041,"MIDDLE SCHOOL","Male",637
"2017-2018",01,"CAMERON COUNTY","BROWNSVILLE ISD",031901,"FAULK MIDDLE",031901043,"MIDDLE SCHOOL","Female",559
"2017-2018",01,"CAMERON COUNTY","BROWNSVILLE ISD",031901,"FAULK MIDDLE",031901043,"MIDDLE SCHOOL","Male",583
"2017-2018",02,"NUECES COUNTY","CORPUS CHRISTI ISD",178904,"FAYE WEBB EL",178904157,"ELEMENTARY","Female",367
"2017-2018",02,"NUECES COUNTY","CORPUS CHRISTI ISD",178904,"FAYE WEBB EL",178904157,"ELEMENTARY","Male",394
"2017-2018",13,"FAYETTE COUNTY","FAYETTEVILLE ISD",075906,"FAYETTEVILLE SCHOOLS",075906001,"ELEMENTARY / SECONDARY","Female",118
"2017-2018",13,"FAYETTE COUNTY","FAYETTEVILLE ISD",075906,"FAYETTEVILLE SCHOOLS",075906001,"ELEMENTARY / SECONDARY","Male",140
"2017-2018",05,"JEFFERSON COUNTY","BEAUMONT ISD",123910,"FEHL-PRICE EL",123910131,"ELEMENTARY","Female",329
"2017-2018",05,"JEFFERSON COUNTY","BEAUMONT ISD",123910,"FEHL-PRICE EL",123910131,"ELEMENTARY","Male",352
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"FELIX G BOTELLO EL",057905289,"ELEMENTARY","Female",277
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"FELIX G BOTELLO EL",057905289,"ELEMENTARY","Male",282
"2017-2018",20,"BEXAR COUNTY","HARLANDALE ISD",015904,"FENLEY TRANSITIONAL H S",015904010,"HIGH SCHOOL","Female",-9999999
"2017-2018",20,"BEXAR COUNTY","HARLANDALE ISD",015904,"FENLEY TRANSITIONAL H S",015904010,"HIGH SCHOOL","Male",5
"2017-2018",20,"BEXAR COUNTY","HARLANDALE ISD",015904,"FENLEY TRANSITIONAL MIDDLE",015904047,"MIDDLE SCHOOL","Female",-9999999
"2017-2018",20,"BEXAR COUNTY","HARLANDALE ISD",015904,"FENLEY TRANSITIONAL MIDDLE",015904047,"MIDDLE SCHOOL","Male",-9999999
"2017-2018",20,"BEXAR COUNTY","SAN ANTONIO ISD",015907,"FENWICK EL",015907123,"ELEMENTARY","Female",216
"2017-2018",20,"BEXAR COUNTY","SAN ANTONIO ISD",015907,"FENWICK EL",015907123,"ELEMENTARY","Male",227
"2017-2018",13,"WILLIAMSON COUNTY","ROUND ROCK ISD",246909,"FERN BLUFF EL",246909123,"ELEMENTARY","Female",291
"2017-2018",13,"WILLIAMSON COUNTY","ROUND ROCK ISD",246909,"FERN BLUFF EL",246909123,"ELEMENTARY","Male",328
"2017-2018",20,"BEXAR COUNTY","NORTHSIDE ISD",015915,"FERNANDEZ EL",015915151,"ELEMENTARY","Female",305
"2017-2018",20,"BEXAR COUNTY","NORTHSIDE ISD",015915,"FERNANDEZ EL",015915151,"ELEMENTARY","Male",302
"2017-2018",04,"FORT BEND COUNTY","FORT BEND ISD",079907,"FERNDELL HENRY CENTER FOR LEARNING",079907038,"ELEMENTARY / SECONDARY","Female",20
"2017-2018",04,"FORT BEND COUNTY","FORT BEND ISD",079907,"FERNDELL HENRY CENTER FOR LEARNING",079907038,"ELEMENTARY / SECONDARY","Male",47
"2017-2018",10,"ELLIS COUNTY","FERRIS ISD",070905,"FERRIS H S",070905002,"HIGH SCHOOL","Female",387
"2017-2018",10,"ELLIS COUNTY","FERRIS ISD",070905,"FERRIS H S",070905002,"HIGH SCHOOL","Male",371
"2017-2018",10,"ELLIS COUNTY","FERRIS ISD",070905,"FERRIS INT",070905104,"ELEMENTARY","Female",218
"2017-2018",10,"ELLIS COUNTY","FERRIS ISD",070905,"FERRIS INT",070905104,"ELEMENTARY","Male",203
"2017-2018",10,"ELLIS COUNTY","FERRIS ISD",070905,"FERRIS J H",070905041,"MIDDLE SCHOOL","Female",302
