DBN,School,Cohort Year,Cohort Category,Total Cohort #,Total Grads #,Total Grads   % of cohort,Total Regents #,Total Regents    % of cohort,Total Regents   % of grads,Advanced Regents #,Advanced   Regents   % of cohort,Advanced Regents    % of grads,Regents w/o Advanced  #,Regents w/o Advanced                          % of cohort,Regents w/o Advanced        % of grads,Local  #,Local   % of cohort,Local   % of grads,Still Enrolled #,Still Enrolled    % of cohort,Dropped Out  #,Dropped Out    % of cohort
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2001,6 Year,450,210,46.7%,111,24.7%,52.9%,25,5.6%,11.9%,86,19.1%,41.0%,99,22.0%,47.1%,33,7.3%,193,42.9%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2002,4 Year  June,496,216,43.5%,144,29.0%,66.7%,27,5.4%,12.5%,117,23.6%,54.2%,72,14.5%,33.3%,170,34.3%,104,21.0%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2002,5 Year  June,496,263,53.0%,158,31.9%,60.1%,28,5.6%,10.6%,130,26.2%,49.4%,107,21.6%,40.7%,72,14.5%,152,30.6%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2002,6 Year,496,280,56.5%,161,32.5%,57.5%,28,5.6%,10.0%,133,26.8%,47.5%,121,24.4%,43.2%,34,6.9%,173,34.9%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2003,4 Year  June,601,229,38.1%,148,24.6%,64.6%,33,5.5%,14.4%,115,19.1%,50.2%,81,13.5%,35.4%,198,32.9%,155,25.8%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2003,5 Year  June,601,278,46.3%,170,28.3%,61.2%,33,5.5%,11.9%,137,22.8%,49.3%,108,18.0%,38.8%,81,13.5%,218,36.3%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2003,6 Year,593,303,51.1%,177,29.8%,58.4%,33,5.6%,10.9%,144,24.3%,47.5%,126,21.2%,41.6%,23,3.9%,236,39.8%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2004,4 Year  June,568,184,32.4%,104,18.3%,56.5%,17,3.0%,9.2%,87,15.3%,47.3%,80,14.1%,43.5%,216,38.0%,146,25.7%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2004,5 Year  June,555,260,46.8%,125,22.5%,48.1%,19,3.4%,7.3%,106,19.1%,40.8%,135,24.3%,51.9%,81,14.6%,179,32.3%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2004,6 Year,550,285,51.8%,132,24.0%,46.3%,19,3.5%,6.7%,113,20.5%,39.6%,153,27.8%,53.7%,25,4.5%,205,37.3%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2005,4 Year  June,580,205,35.3%,120,20.7%,58.5%,32,5.5%,15.6%,88,15.2%,42.9%,85,14.7%,41.5%,244,42.1%,105,18.1%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2005,4 Year August,580,221,38.1%,125,21.6%,56.6%,32,5.5%,14.5%,93,16.0%,42.1%,96,16.6%,43.4%,228,39.3%,105,18.1%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2005,5 Year  June,578,269,46.5%,140,24.2%,52.0%,32,5.5%,11.9%,108,18.7%,40.1%,129,22.3%,48.0%,91,15.7%,185,32.0%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2005,6 Year,571,295,51.7%,147,25.7%,49.8%,32,5.6%,10.8%,115,20.1%,39.0%,148,25.9%,50.2%,29,5.1%,211,37.0%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2006,4 Year  June,521,185,35.5%,112,21.5%,60.5%,22,4.2%,11.9%,90,17.3%,48.6%,73,14.0%,39.5%,191,36.7%,120,23.0%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2006,4 Year August,521,205,39.3%,115,22.1%,56.1%,22,4.2%,10.7%,93,17.9%,45.4%,90,17.3%,43.9%,172,33.0%,119,22.8%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2006,5 Year  June,516,247,47.9%,130,25.2%,52.6%,22,4.3%,8.9%,108,20.9%,43.7%,117,22.7%,47.4%,60,11.6%,176,34.1%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2006,5 Year August,516,253,49.0%,131,25.4%,51.8%,22,4.3%,8.7%,109,21.1%,43.1%,122,23.6%,48.2%,56,10.9%,174,33.7%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2006,6 Year,515,266,51.7%,132,25.6%,49.6%,22,4.3%,8.3%,110,21.4%,41.4%,134,26.0%,50.4%,13,2.5%,204,39.6%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2007,4 Year  June,452,145,32.1%,96,21.2%,66.2%,18,4.0%,12.4%,78,17.3%,53.8%,49,10.8%,33.8%,137,30.3%,140,31.0%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2007,4 Year August,452,167,36.9%,106,23.5%,63.5%,18,4.0%,10.8%,88,19.5%,52.7%,61,13.5%,36.5%,116,25.7%,138,30.5%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2007,5 Year  June,433,208,48.0%,123,28.4%,59.1%,18,4.2%,8.7%,105,24.2%,50.5%,85,19.6%,40.9%,26,6.0%,176,40.6%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2007,5 Year August,433,208,48.0%,123,28.4%,59.1%,18,4.2%,8.7%,105,24.2%,50.5%,85,19.6%,40.9%,26,6.0%,176,40.6%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2007,6 Year,421,208,49.4%,123,29.2%,59.1%,18,4.3%,8.7%,105,24.9%,50.5%,85,20.2%,40.9%,17,4.0%,174,41.3%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2008,4 Year  June,293,114,38.9%,106,36.2%,93.0%,22,7.5%,19.3%,84,28.7%,73.7%,8,2.7%,7.0%,68,23.2%,99,33.8%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2008,4 Year August,293,114,38.9%,106,36.2%,93.0%,22,7.5%,19.3%,84,28.7%,73.7%,8,2.7%,7.0%,68,23.2%,99,33.8%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2008,5 Year  June,249,114,45.8%,106,42.6%,93.0%,22,8.8%,19.3%,84,33.7%,73.7%,8,3.2%,7.0%,27,10.8%,96,38.6%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2008,5 Year August,249,115,46.2%,107,43.0%,93.0%,22,8.8%,19.1%,85,34.1%,73.9%,8,3.2%,7.0%,26,10.4%,96,38.6%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2008,6 Year,247,114,46.2%,106,42.9%,93.0%,22,8.9%,19.3%,84,34.0%,73.7%,8,3.2%,7.0%,25,10.1%,96,38.9%
03M479,BEACON HIGH SCHOOL,2001,4 Year  June,226,202,89.4%,198,87.6%,98.0%,0,0.0%,0.0%,198,87.6%,98.0%,4,1.8%,2.0%,18,8.0%,6,2.7%
03M479,BEACON HIGH SCHOOL,2001,5 Year  June,226,216,95.6%,201,88.9%,93.1%,0,0.0%,0.0%,201,88.9%,93.1%,15,6.6%,6.9%,1,0.4%,9,4.0%
03M479,BEACON HIGH SCHOOL,2001,6 Year,226,217,96.0%,201,88.9%,92.6%,0,0.0%,0.0%,201,88.9%,92.6%,16,7.1%,7.4%,0,0.0%,9,4.0%
03M479,BEACON HIGH SCHOOL,2002,4 Year  June,230,200,87.0%,160,69.6%,80.0%,0,0.0%,0.0%,160,69.6%,80.0%,40,17.4%,20.0%,18,7.8%,7,3.0%
03M479,BEACON HIGH SCHOOL,2002,5 Year  June,230,213,92.6%,160,69.6%,75.1%,0,0.0%,0.0%,160,69.6%,75.1%,53,23.0%,24.9%,4,1.7%,8,3.5%
03M479,BEACON HIGH SCHOOL,2002,6 Year,230,213,92.6%,160,69.6%,75.1%,0,0.0%,0.0%,160,69.6%,75.1%,53,23.0%,24.9%,3,1.3%,9,3.9%
03M479,BEACON HIGH SCHOOL,2003,4 Year  June,230,200,87.0%,140,60.9%,70.0%,0,0.0%,0.0%,140,60.9%,70.0%,60,26.1%,30.0%,25,10.9%,5,2.2%
03M479,BEACON HIGH SCHOOL,2003,5 Year  June,230,216,93.9%,144,62.6%,66.7%,0,0.0%,0.0%,144,62.6%,66.7%,72,31.3%,33.3%,6,2.6%,8,3.5%
03M479,BEACON HIGH SCHOOL,2003,6 Year,230,219,95.2%,144,62.6%,65.8%,0,0.0%,0.0%,144,62.6%,65.8%,75,32.6%,34.2%,3,1.3%,8,3.5%
03M479,BEACON HIGH SCHOOL,2004,4 Year  June,227,194,85.5%,169,74.4%,87.1%,0,0.0%,0.0%,169,74.4%,87.1%,25,11.0%,12.9%,29,12.8%,4,1.8%
03M479,BEACON HIGH SCHOOL,2004,5 Year  June,221,205,92.8%,169,76.5%,82.4%,0,0.0%,0.0%,169,76.5%,82.4%,36,16.3%,17.6%,8,3.6%,5,2.3%
03M479,BEACON HIGH SCHOOL,2004,6 Year,218,205,94.0%,169,77.5%,82.4%,0,0.0%,0.0%,169,77.5%,82.4%,36,16.5%,17.6%,5,2.3%,6,2.8%
03M479,BEACON HIGH SCHOOL,2005,4 Year  June,246,234,95.1%,199,80.9%,85.0%,0,0.0%,0.0%,199,80.9%,85.0%,35,14.2%,15.0%,7,2.8%,1,0.4%
03M479,BEACON HIGH SCHOOL,2005,4 Year August,246,234,95.1%,199,80.9%,85.0%,0,0.0%,0.0%,199,80.9%,85.0%,35,14.2%,15.0%,7,2.8%,1,0.4%
03M479,BEACON HIGH SCHOOL,2005,5 Year  June,242,234,96.7%,199,82.2%,85.0%,0,0.0%,0.0%,199,82.2%,85.0%,35,14.5%,15.0%,3,1.2%,1,0.4%
03M479,BEACON HIGH SCHOOL,2005,6 Year,242,234,96.7%,199,82.2%,85.0%,0,0.0%,0.0%,199,82.2%,85.0%,35,14.5%,15.0%,0,0.0%,4,1.7%
03M479,BEACON HIGH SCHOOL,2006,4 Year  June,269,259,96.3%,247,91.8%,95.4%,0,0.0%,0.0%,247,91.8%,95.4%,12,4.5%,4.6%,9,3.3%,0,0.0%
03M479,BEACON HIGH SCHOOL,2006,4 Year August,269,263,97.8%,247,91.8%,93.9%,0,0.0%,0.0%,247,91.8%,93.9%,16,5.9%,6.1%,5,1.9%,0,0.0%
03M479,BEACON HIGH SCHOOL,2006,5 Year  June,265,263,99.2%,247,93.2%,93.9%,0,0.0%,0.0%,247,93.2%,93.9%,16,6.0%,6.1%,0,0.0%,1,0.4%
03M479,BEACON HIGH SCHOOL,2006,5 Year August,265,263,99.2%,247,93.2%,93.9%,0,0.0%,0.0%,247,93.2%,93.9%,16,6.0%,6.1%,0,0.0%,1,0.4%
03M479,BEACON HIGH SCHOOL,2006,6 Year,266,263,98.9%,247,92.9%,93.9%,0,0.0%,0.0%,247,92.9%,93.9%,16,6.0%,6.1%,1,0.4%,1,0.4%
03M479,BEACON HIGH SCHOOL,2007,4 Year  June,284,277,97.5%,250,88.0%,90.3%,0,0.0%,0.0%,250,88.0%,90.3%,27,9.5%,9.7%,4,1.4%,3,1.1%
03M479,BEACON HIGH SCHOOL,2007,4 Year August,284,280,98.6%,250,88.0%,89.3%,0,0.0%,0.0%,250,88.0%,89.3%,30,10.6%,10.7%,2,0.7%,2,0.7%
03M479,BEACON HIGH SCHOOL,2007,5 Year  June,284,282,99.3%,251,88.4%,89.0%,0,0.0%,0.0%,251,88.4%,89.0%,31,10.9%,11.0%,0,0.0%,2,0.7%
03M479,BEACON HIGH SCHOOL,2007,5 Year August,284,282,99.3%,251,88.4%,89.0%,0,0.0%,0.0%,251,88.4%,89.0%,31,10.9%,11.0%,0,0.0%,2,0.7%
03M479,BEACON HIGH SCHOOL,2007,6 Year,284,282,99.3%,251,88.4%,89.0%,0,0.0%,0.0%,251,88.4%,89.0%,31,10.9%,11.0%,0,0.0%,2,0.7%
03M479,BEACON HIGH SCHOOL,2008,4 Year  June,279,270,96.8%,270,96.8%,100.0%,0,0.0%,0.0%,270,96.8%,100.0%,0,0.0%,0.0%,7,2.5%,2,0.7%
03M479,BEACON HIGH SCHOOL,2008,4 Year August,279,272,97.5%,272,97.5%,100.0%,0,0.0%,0.0%,272,97.5%,100.0%,0,0.0%,0.0%,5,1.8%,2,0.7%
03M479,BEACON HIGH SCHOOL,2008,5 Year  June,280,275,98.2%,275,98.2%,100.0%,0,0.0%,0.0%,275,98.2%,100.0%,0,0.0%,0.0%,0,0.0%,5,1.8%
03M479,BEACON HIGH SCHOOL,2008,5 Year August,280,275,98.2%,275,98.2%,100.0%,0,0.0%,0.0%,275,98.2%,100.0%,0,0.0%,0.0%,0,0.0%,5,1.8%
03M479,BEACON HIGH SCHOOL,2008,6 Year,279,275,98.6%,275,98.6%,100.0%,0,0.0%,0.0%,275,98.6%,100.0%,0,0.0%,0.0%,0,0.0%,4,1.4%
03M479,BEACON HIGH SCHOOL,2009,4 Year  June,262,255,97.3%,255,97.3%,100.0%,0,0.0%,0.0%,255,97.3%,100.0%,0,0.0%,0.0%,6,2.3%,0,0.0%
03M479,BEACON HIGH SCHOOL,2009,4 Year August,262,258,98.5%,258,98.5%,100.0%,0,0.0%,0.0%,258,98.5%,100.0%,0,0.0%,0.0%,3,1.1%,0,0.0%
03M479,BEACON HIGH SCHOOL,2009,5 Year  June,261,259,99.2%,259,99.2%,100.0%,0,0.0%,0.0%,259,99.2%,100.0%,0,0.0%,0.0%,0,0.0%,1,0.4%
03M479,BEACON HIGH SCHOOL,2009,5 Year August,261,259,99.2%,259,99.2%,100.0%,0,0.0%,0.0%,259,99.2%,100.0%,0,0.0%,0.0%,0,0.0%,1,0.4%
03M479,BEACON HIGH SCHOOL,2009,6 Year,261,259,99.2%,259,99.2%,100.0%,0,0.0%,0.0%,259,99.2%,100.0%,0,0.0%,0.0%,0,0.0%,1,0.4%
03M479,BEACON HIGH SCHOOL,2010,4 Year  June,304,298,98.0%,298,98.0%,100.0%,0,0.0%,0.0%,298,98.0%,100.0%,0,0.0%,0.0%,6,2.0%,0,0.0%
03M479,BEACON HIGH SCHOOL,2010,4 Year August,304,301,99.0%,301,99.0%,100.0%,0,0.0%,0.0%,301,99.0%,100.0%,0,0.0%,0.0%,3,1.0%,0,0.0%
03M479,BEACON HIGH SCHOOL,2010,5 Year  June,304,303,99.7%,303,99.7%,100.0%,0,0.0%,0.0%,303,99.7%,100.0%,0,0.0%,0.0%,0,0.0%,1,0.3%
03M479,BEACON HIGH SCHOOL,2010,5 Year August,304,303,99.7%,303,99.7%,100.0%,0,0.0%,0.0%,303,99.7%,100.0%,0,0.0%,0.0%,0,0.0%,1,0.3%
03M479,BEACON HIGH SCHOOL,2011,4 Year  June,297,295,99.3%,295,99.3%,100.0%,0,0.0%,0.0%,295,99.3%,100.0%,0,0.0%,0.0%,2,0.7%,0,0.0%
03M479,BEACON HIGH SCHOOL,2011,4 Year August,297,296,99.7%,296,99.7%,100.0%,0,0.0%,0.0%,296,99.7%,100.0%,0,0.0%,0.0%,1,0.3%,0,0.0%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2001,4 Year  June,592,519,87.7%,487,82.3%,93.8%,243,41.0%,46.8%,244,41.2%,47.0%,32,5.4%,6.2%,69,11.7%,4,0.7%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2001,5 Year  June,592,569,96.1%,527,89.0%,92.6%,254,42.9%,44.6%,273,46.1%,48.0%,42,7.1%,7.4%,11,1.9%,12,2.0%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2001,6 Year,592,573,96.8%,529,89.4%,92.3%,254,42.9%,44.3%,275,46.5%,48.0%,44,7.4%,7.7%,4,0.7%,14,2.4%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2002,4 Year  June,563,530,94.1%,524,93.1%,98.9%,230,40.9%,43.4%,294,52.2%,55.5%,6,1.1%,1.1%,27,4.8%,1,0.2%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2002,5 Year  June,563,551,97.9%,539,95.7%,97.8%,235,41.7%,42.6%,304,54.0%,55.2%,12,2.1%,2.2%,2,0.4%,5,0.9%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2002,6 Year,563,552,98.0%,540,95.9%,97.8%,235,41.7%,42.6%,305,54.2%,55.3%,12,2.1%,2.2%,1,0.2%,5,0.9%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2003,4 Year  June,535,519,97.0%,503,94.0%,96.9%,437,81.7%,84.2%,66,12.3%,12.7%,16,3.0%,3.1%,15,2.8%,1,0.2%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2003,5 Year  June,535,530,99.1%,512,95.7%,96.6%,441,82.4%,83.2%,71,13.3%,13.4%,18,3.4%,3.4%,4,0.7%,1,0.2%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2003,6 Year,536,531,99.1%,512,95.5%,96.4%,441,82.3%,83.1%,71,13.2%,13.4%,19,3.5%,3.6%,1,0.2%,3,0.6%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2004,4 Year  June,614,586,95.4%,579,94.3%,98.8%,385,62.7%,65.7%,194,31.6%,33.1%,7,1.1%,1.2%,26,4.2%,2,0.3%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2004,5 Year  June,613,604,98.5%,593,96.7%,98.2%,387,63.1%,64.1%,206,33.6%,34.1%,11,1.8%,1.8%,4,0.7%,3,0.5%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2004,6 Year,613,607,99.0%,595,97.1%,98.0%,387,63.1%,63.8%,208,33.9%,34.3%,12,2.0%,2.0%,1,0.2%,3,0.5%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2005,4 Year  June,655,631,96.3%,622,95.0%,98.6%,414,63.2%,65.6%,208,31.8%,33.0%,9,1.4%,1.4%,21,3.2%,3,0.5%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2005,4 Year August,655,645,98.5%,632,96.5%,98.0%,418,63.8%,64.8%,214,32.7%,33.2%,13,2.0%,2.0%,7,1.1%,3,0.5%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2005,5 Year  June,657,648,98.6%,635,96.7%,98.0%,418,63.6%,64.5%,217,33.0%,33.5%,13,2.0%,2.0%,0,0.0%,6,0.9%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2005,6 Year,657,649,98.8%,635,96.7%,97.8%,418,63.6%,64.4%,217,33.0%,33.4%,14,2.1%,2.2%,0,0.0%,5,0.8%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2006,4 Year  June,646,627,97.1%,621,96.1%,99.0%,324,50.2%,51.7%,297,46.0%,47.4%,6,0.9%,1.0%,13,2.0%,6,0.9%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2006,4 Year August,646,632,97.8%,626,96.9%,99.1%,324,50.2%,51.3%,302,46.7%,47.8%,6,0.9%,0.9%,8,1.2%,6,0.9%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2006,5 Year  June,643,636,98.9%,628,97.7%,98.7%,324,50.4%,50.9%,304,47.3%,47.8%,8,1.2%,1.3%,2,0.3%,5,0.8%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2006,5 Year August,643,636,98.9%,628,97.7%,98.7%,324,50.4%,50.9%,304,47.3%,47.8%,8,1.2%,1.3%,2,0.3%,5,0.8%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2006,6 Year,645,637,98.8%,629,97.5%,98.7%,324,50.2%,50.9%,305,47.3%,47.9%,8,1.2%,1.3%,2,0.3%,6,0.9%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2007,4 Year  June,601,586,97.5%,583,97.0%,99.5%,468,77.9%,79.9%,115,19.1%,19.6%,3,0.5%,0.5%,12,2.0%,3,0.5%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2007,4 Year August,601,592,98.5%,589,98.0%,99.5%,469,78.0%,79.2%,120,20.0%,20.3%,3,0.5%,0.5%,6,1.0%,3,0.5%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2007,5 Year  June,603,594,98.5%,591,98.0%,99.5%,470,77.9%,79.1%,121,20.1%,20.4%,3,0.5%,0.5%,6,1.0%,2,0.3%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2007,5 Year August,603,594,98.5%,591,98.0%,99.5%,470,77.9%,79.1%,121,20.1%,20.4%,3,0.5%,0.5%,6,1.0%,2,0.3%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2007,6 Year,602,594,98.7%,591,98.2%,99.5%,470,78.1%,79.1%,121,20.1%,20.4%,3,0.5%,0.5%,5,0.8%,2,0.3%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2008,4 Year  June,553,548,99.1%,548,99.1%,100.0%,402,72.7%,73.4%,146,26.4%,26.6%,0,0.0%,0.0%,3,0.5%,2,0.4%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2008,4 Year August,553,550,99.5%,550,99.5%,100.0%,402,72.7%,73.1%,148,26.8%,26.9%,0,0.0%,0.0%,1,0.2%,2,0.4%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2008,5 Year  June,553,550,99.5%,550,99.5%,100.0%,402,72.7%,73.1%,148,26.8%,26.9%,0,0.0%,0.0%,0,0.0%,3,0.5%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2008,5 Year August,553,551,99.6%,551,99.6%,100.0%,402,72.7%,73.0%,149,26.9%,27.0%,0,0.0%,0.0%,0,0.0%,2,0.4%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2008,6 Year,553,551,99.6%,551,99.6%,100.0%,402,72.7%,73.0%,149,26.9%,27.0%,0,0.0%,0.0%,0,0.0%,2,0.4%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2009,4 Year  June,663,634,95.6%,634,95.6%,100.0%,451,68.0%,71.1%,183,27.6%,28.9%,0,0.0%,0.0%,28,4.2%,0,0.0%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2009,4 Year August,663,651,98.2%,651,98.2%,100.0%,454,68.5%,69.7%,197,29.7%,30.3%,0,0.0%,0.0%,11,1.7%,0,0.0%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2009,5 Year  June,661,653,98.8%,653,98.8%,100.0%,455,68.8%,69.7%,198,30.0%,30.3%,0,0.0%,0.0%,4,0.6%,3,0.5%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2009,5 Year August,661,655,99.1%,655,99.1%,100.0%,455,68.8%,69.5%,200,30.3%,30.5%,0,0.0%,0.0%,2,0.3%,3,0.5%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2009,6 Year,660,657,99.5%,657,99.5%,100.0%,455,68.9%,69.3%,202,30.6%,30.7%,0,0.0%,0.0%,0,0.0%,2,0.3%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2010,4 Year  June,675,657,97.3%,657,97.3%,100.0%,466,69.0%,70.9%,191,28.3%,29.1%,0,0.0%,0.0%,18,2.7%,0,0.0%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2010,4 Year August,675,667,98.8%,667,98.8%,100.0%,469,69.5%,70.3%,198,29.3%,29.7%,0,0.0%,0.0%,8,1.2%,0,0.0%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2010,5 Year  June,673,670,99.6%,670,99.6%,100.0%,469,69.7%,70.0%,201,29.9%,30.0%,0,0.0%,0.0%,2,0.3%,1,0.1%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2010,5 Year August,673,670,99.6%,670,99.6%,100.0%,469,69.7%,70.0%,201,29.9%,30.0%,0,0.0%,0.0%,2,0.3%,1,0.1%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2011,4 Year  June,662,645,97.4%,645,97.4%,100.0%,470,71.0%,72.9%,175,26.4%,27.1%,0,0.0%,0.0%,15,2.3%,1,0.2%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P,2011,4 Year August,662,648,97.9%,648,97.9%,100.0%,470,71.0%,72.5%,178,26.9%,27.5%,0,0.0%,0.0%,12,1.8%,1,0.2%
03M490,MARTIN LUTHER KING JR. ACADEMY,2001,4 Year  June,227,160,70.5%,0,0.0%,0.0%,0,0.0%,0.0%,0,0.0%,0.0%,160,70.5%,100.0%,1,0.4%,55,24.2%
03M490,MARTIN LUTHER KING JR. ACADEMY,2001,5 Year  June,227,160,70.5%,0,0.0%,0.0%,0,0.0%,0.0%,0,0.0%,0.0%,160,70.5%,100.0%,1,0.4%,55,24.2%
03M490,MARTIN LUTHER KING JR. ACADEMY,2001,6 Year,227,160,70.5%,0,0.0%,0.0%,0,0.0%,0.0%,0,0.0%,0.0%,160,70.5%,100.0%,1,0.4%,55,24.2%
03M490,MARTIN LUTHER KING JR. ACADEMY,2002,4 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
03M490,MARTIN LUTHER KING JR. ACADEMY,2002,5 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
03M490,MARTIN LUTHER KING JR. ACADEMY,2002,6 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
03M490,MARTIN LUTHER KING JR. ACADEMY,2003,4 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
03M490,MARTIN LUTHER KING JR. ACADEMY,2003,5 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
03M490,MARTIN LUTHER KING JR. ACADEMY,2003,6 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",2002,4 Year  June,111,67,60.4%,36,32.4%,53.7%,0,0.0%,0.0%,36,32.4%,53.7%,31,27.9%,46.3%,27,24.3%,17,15.3%
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",2002,5 Year  June,111,82,73.9%,40,36.0%,48.8%,1,0.9%,1.2%,39,35.1%,47.6%,42,37.8%,51.2%,3,2.7%,25,22.5%
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",2002,6 Year,111,84,75.7%,40,36.0%,47.6%,1,0.9%,1.2%,39,35.1%,46.4%,44,39.6%,52.4%,1,0.9%,25,22.5%
