T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","REGION","COUNTY NAME","GENDER","ENROLLMENT"
"2019-2020",09,"WILBARGER COUNTY","Male",1157
"2019-2020",01,"WILLACY COUNTY","Female",2036
"2019-2020",01,"WILLACY COUNTY","Male",2111
"2019-2020",13,"WILLIAMSON COUNTY","Female",61747
"2019-2020",13,"WILLIAMSON COUNTY","Male",65527
"2019-2020",20,"WILSON COUNTY","Female",4441
"2019-2020",20,"WILSON COUNTY","Male",4757
"2019-2020",18,"WINKLER COUNTY","Female",903
"2019-2020",18,"WINKLER COUNTY","Male",998
"2019-2020",11,"WISE COUNTY","Female",4725
"2019-2020",11,"WISE COUNTY","Male",5004
"2019-2020",07,"WOOD COUNTY","Female",3092
"2019-2020",07,"WOOD COUNTY","Male",3204
"2019-2020",17,"YOAKUM COUNTY","Female",1050
"2019-2020",17,"YOAKUM COUNTY","Male",1108
"2019-2020",09,"YOUNG COUNTY","Female",1547
"2019-2020",09,"YOUNG COUNTY","Male",1649
"2019-2020",01,"ZAPATA COUNTY","Female",1649
"2019-2020",01,"ZAPATA COUNTY","Male",1900
"2019-2020",20,"ZAVALA COUNTY","Female",1178
"2019-2020",20,"ZAVALA COUNTY","Male",1241

