T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","REGION","COUNTY NAME","GENDER","GRADE","ENROLLMENT"
"2019-2020",10,"ELLIS COUNTY","Female","Grade 1",1344
"2019-2020",10,"ELLIS COUNTY","Male","Grade 1",1456
"2019-2020",10,"ELLIS COUNTY","Female","Grade 2",1331
"2019-2020",10,"ELLIS COUNTY","Male","Grade 2",1399
"2019-2020",10,"ELLIS COUNTY","Female","Grade 3",1293
"2019-2020",10,"ELLIS COUNTY","Male","Grade 3",1435
"2019-2020",10,"ELLIS COUNTY","Female","Grade 4",1406
"2019-2020",10,"ELLIS COUNTY","Male","Grade 4",1591
"2019-2020",10,"ELLIS COUNTY","Female","Grade 5",1428
"2019-2020",10,"ELLIS COUNTY","Male","Grade 5",1580
"2019-2020",10,"ELLIS COUNTY","Female","Grade 6",1599
"2019-2020",10,"ELLIS COUNTY","Male","Grade 6",1683
"2019-2020",10,"ELLIS COUNTY","Female","Grade 7",1623
"2019-2020",10,"ELLIS COUNTY","Male","Grade 7",1701
"2019-2020",10,"ELLIS COUNTY","Female","Grade 8",1531
"2019-2020",10,"ELLIS COUNTY","Male","Grade 8",1590
"2019-2020",10,"ELLIS COUNTY","Female","Grade 9",1670
"2019-2020",10,"ELLIS COUNTY","Male","Grade 9",1734
"2019-2020",10,"ELLIS COUNTY","Female","Grade 10",1490
"2019-2020",10,"ELLIS COUNTY","Male","Grade 10",1621
"2019-2020",10,"ELLIS COUNTY","Female","Grade 11",1357
"2019-2020",10,"ELLIS COUNTY","Male","Grade 11",1523
"2019-2020",10,"ELLIS COUNTY","Female","Grade 12",1260
"2019-2020",10,"ELLIS COUNTY","Male","Grade 12",1345
"2019-2020",11,"ERATH COUNTY","Female","Early Education",7
"2019-2020",11,"ERATH COUNTY","Male","Early Education",17
"2019-2020",11,"ERATH COUNTY","Female","Pre-kindergarten",146
"2019-2020",11,"ERATH COUNTY","Male","Pre-kindergarten",155
"2019-2020",11,"ERATH COUNTY","Female","Kindergarten",236
"2019-2020",11,"ERATH COUNTY","Male","Kindergarten",270
"2019-2020",11,"ERATH COUNTY","Female","Grade 1",237
"2019-2020",11,"ERATH COUNTY","Male","Grade 1",251
"2019-2020",11,"ERATH COUNTY","Female","Grade 2",214
"2019-2020",11,"ERATH COUNTY","Male","Grade 2",220
"2019-2020",11,"ERATH COUNTY","Female","Grade 3",208
"2019-2020",11,"ERATH COUNTY","Male","Grade 3",239
"2019-2020",11,"ERATH COUNTY","Female","Grade 4",200
"2019-2020",11,"ERATH COUNTY","Male","Grade 4",219
"2019-2020",11,"ERATH COUNTY","Female","Grade 5",220
"2019-2020",11,"ERATH COUNTY","Male","Grade 5",224
"2019-2020",11,"ERATH COUNTY","Female","Grade 6",224
"2019-2020",11,"ERATH COUNTY","Male","Grade 6",221
"2019-2020",11,"ERATH COUNTY","Female","Grade 7",231
"2019-2020",11,"ERATH COUNTY","Male","Grade 7",247
"2019-2020",11,"ERATH COUNTY","Female","Grade 8",265
"2019-2020",11,"ERATH COUNTY","Male","Grade 8",247
"2019-2020",11,"ERATH COUNTY","Female","Grade 9",921
"2019-2020",11,"ERATH COUNTY","Male","Grade 9",885
"2019-2020",11,"ERATH COUNTY","Female","Grade 10",959
"2019-2020",11,"ERATH COUNTY","Male","Grade 10",861
"2019-2020",11,"ERATH COUNTY","Female","Grade 11",974
"2019-2020",11,"ERATH COUNTY","Male","Grade 11",822
"2019-2020",11,"ERATH COUNTY","Female","Grade 12",886
"2019-2020",11,"ERATH COUNTY","Male","Grade 12",707
"2019-2020",12,"FALLS COUNTY","Female","Early Education",5
"2019-2020",12,"FALLS COUNTY","Male","Early Education",4
"2019-2020",12,"FALLS COUNTY","Female","Pre-kindergarten",99
"2019-2020",12,"FALLS COUNTY","Male","Pre-kindergarten",87
"2019-2020",12,"FALLS COUNTY","Female","Kindergarten",73
"2019-2020",12,"FALLS COUNTY","Male","Kindergarten",106
"2019-2020",12,"FALLS COUNTY","Female","Grade 1",72
"2019-2020",12,"FALLS COUNTY","Male","Grade 1",80
"2019-2020",12,"FALLS COUNTY","Female","Grade 2",105
"2019-2020",12,"FALLS COUNTY","Male","Grade 2",91
"2019-2020",12,"FALLS COUNTY","Female","Grade 3",77
"2019-2020",12,"FALLS COUNTY","Male","Grade 3",89
"2019-2020",12,"FALLS COUNTY","Female","Grade 4",92
"2019-2020",12,"FALLS COUNTY","Male","Grade 4",77
"2019-2020",12,"FALLS COUNTY","Female","Grade 5",77
"2019-2020",12,"FALLS COUNTY","Male","Grade 5",79
"2019-2020",12,"FALLS COUNTY","Female","Grade 6",72
"2019-2020",12,"FALLS COUNTY","Male","Grade 6",84
"2019-2020",12,"FALLS COUNTY","Female","Grade 7",86
"2019-2020",12,"FALLS COUNTY","Male","Grade 7",86
"2019-2020",12,"FALLS COUNTY","Female","Grade 8",83
"2019-2020",12,"FALLS COUNTY","Male","Grade 8",100
"2019-2020",12,"FALLS COUNTY","Female","Grade 9",66
"2019-2020",12,"FALLS COUNTY","Male","Grade 9",93
"2019-2020",12,"FALLS COUNTY","Female","Grade 10",75
"2019-2020",12,"FALLS COUNTY","Male","Grade 10",86
"2019-2020",12,"FALLS COUNTY","Female","Grade 11",63
"2019-2020",12,"FALLS COUNTY","Male","Grade 11",70
"2019-2020",12,"FALLS COUNTY","Female","Grade 12",57
"2019-2020",12,"FALLS COUNTY","Male","Grade 12",64
"2019-2020",08,"FANNIN COUNTY","Female","Pre-kindergarten",9
"2019-2020",08,"FANNIN COUNTY","Male","Pre-kindergarten",11
"2019-2020",08,"FANNIN COUNTY","Female","Kindergarten",19
"2019-2020",08,"FANNIN COUNTY","Male","Kindergarten",25
"2019-2020",08,"FANNIN COUNTY","Female","Grade 1",9
"2019-2020",08,"FANNIN COUNTY","Male","Grade 1",22
"2019-2020",08,"FANNIN COUNTY","Female","Grade 2",25
"2019-2020",08,"FANNIN COUNTY","Male","Grade 2",13
"2019-2020",08,"FANNIN COUNTY","Female","Grade 3",18
"2019-2020",08,"FANNIN COUNTY","Male","Grade 3",24
"2019-2020",08,"FANNIN COUNTY","Female","Grade 4",24
"2019-2020",08,"FANNIN COUNTY","Male","Grade 4",12
"2019-2020",08,"FANNIN COUNTY","Female","Grade 5",23
"2019-2020",08,"FANNIN COUNTY","Male","Grade 5",22
"2019-2020",08,"FANNIN COUNTY","Female","Grade 6",32
"2019-2020",08,"FANNIN COUNTY","Male","Grade 6",34
"2019-2020",08,"FANNIN COUNTY","Female","Grade 7",30
"2019-2020",08,"FANNIN COUNTY","Male","Grade 7",27
"2019-2020",08,"FANNIN COUNTY","Female","Grade 8",24
"2019-2020",08,"FANNIN COUNTY","Male","Grade 8",21
"2019-2020",08,"FANNIN COUNTY","Female","Grade 9",23
"2019-2020",08,"FANNIN COUNTY","Male","Grade 9",31
"2019-2020",08,"FANNIN COUNTY","Female","Grade 10",21
"2019-2020",08,"FANNIN COUNTY","Male","Grade 10",32
"2019-2020",08,"FANNIN COUNTY","Female","Grade 11",23
"2019-2020",08,"FANNIN COUNTY","Male","Grade 11",26
"2019-2020",08,"FANNIN COUNTY","Female","Grade 12",29
"2019-2020",08,"FANNIN COUNTY","Male","Grade 12",28
"2019-2020",10,"FANNIN COUNTY","Female","Early Education",2
"2019-2020",10,"FANNIN COUNTY","Male","Early Education",13
"2019-2020",10,"FANNIN COUNTY","Female","Pre-kindergarten",171
"2019-2020",10,"FANNIN COUNTY","Male","Pre-kindergarten",174
"2019-2020",10,"FANNIN COUNTY","Female","Kindergarten",165
"2019-2020",10,"FANNIN COUNTY","Male","Kindergarten",186
"2019-2020",10,"FANNIN COUNTY","Female","Grade 1",178
"2019-2020",10,"FANNIN COUNTY","Male","Grade 1",173
"2019-2020",10,"FANNIN COUNTY","Female","Grade 2",144
"2019-2020",10,"FANNIN COUNTY","Male","Grade 2",194
"2019-2020",10,"FANNIN COUNTY","Female","Grade 3",157
"2019-2020",10,"FANNIN COUNTY","Male","Grade 3",186
"2019-2020",10,"FANNIN COUNTY","Female","Grade 4",170
"2019-2020",10,"FANNIN COUNTY","Male","Grade 4",177
"2019-2020",10,"FANNIN COUNTY","Female","Grade 5",146
"2019-2020",10,"FANNIN COUNTY","Male","Grade 5",177
"2019-2020",10,"FANNIN COUNTY","Female","Grade 6",179
"2019-2020",10,"FANNIN COUNTY","Male","Grade 6",199
"2019-2020",10,"FANNIN COUNTY","Female","Grade 7",172
"2019-2020",10,"FANNIN COUNTY","Male","Grade 7",196
"2019-2020",10,"FANNIN COUNTY","Female","Grade 8",182
"2019-2020",10,"FANNIN COUNTY","Male","Grade 8",187
"2019-2020",10,"FANNIN COUNTY","Female","Grade 9",188
"2019-2020",10,"FANNIN COUNTY","Male","Grade 9",214
"2019-2020",10,"FANNIN COUNTY","Female","Grade 10",185
"2019-2020",10,"FANNIN COUNTY","Male","Grade 10",166
"2019-2020",10,"FANNIN COUNTY","Female","Grade 11",165
"2019-2020",10,"FANNIN COUNTY","Male","Grade 11",163
"2019-2020",10,"FANNIN COUNTY","Female","Grade 12",157
"2019-2020",10,"FANNIN COUNTY","Male","Grade 12",154
"2019-2020",13,"FAYETTE COUNTY","Female","Early Education",7
"2019-2020",13,"FAYETTE COUNTY","Male","Early Education",14
"2019-2020",13,"FAYETTE COUNTY","Female","Pre-kindergarten",78
"2019-2020",13,"FAYETTE COUNTY","Male","Pre-kindergarten",92
"2019-2020",13,"FAYETTE COUNTY","Female","Kindergarten",136
"2019-2020",13,"FAYETTE COUNTY","Male","Kindergarten",114
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 1",129
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 1",129
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 2",117
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 2",125
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 3",137
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 3",135
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 4",120
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 4",141
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 5",148
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 5",146
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 6",142
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 6",134
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 7",146
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 7",158
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 8",141
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 8",147
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 9",135
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 9",186
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 10",151
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 10",141
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 11",145
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 11",148
"2019-2020",13,"FAYETTE COUNTY","Female","Grade 12",146
"2019-2020",13,"FAYETTE COUNTY","Male","Grade 12",119
"2019-2020",14,"FISHER COUNTY","Female","Early Education",2
"2019-2020",14,"FISHER COUNTY","Female","Pre-kindergarten",14
"2019-2020",14,"FISHER COUNTY","Male","Pre-kindergarten",18
"2019-2020",14,"FISHER COUNTY","Female","Kindergarten",28
"2019-2020",14,"FISHER COUNTY","Male","Kindergarten",22
"2019-2020",14,"FISHER COUNTY","Female","Grade 1",27
"2019-2020",14,"FISHER COUNTY","Male","Grade 1",19
"2019-2020",14,"FISHER COUNTY","Female","Grade 2",22
"2019-2020",14,"FISHER COUNTY","Male","Grade 2",15
"2019-2020",14,"FISHER COUNTY","Female","Grade 3",16
"2019-2020",14,"FISHER COUNTY","Male","Grade 3",26
"2019-2020",14,"FISHER COUNTY","Female","Grade 4",24
"2019-2020",14,"FISHER COUNTY","Male","Grade 4",23
"2019-2020",14,"FISHER COUNTY","Female","Grade 5",20
"2019-2020",14,"FISHER COUNTY","Male","Grade 5",20
"2019-2020",14,"FISHER COUNTY","Female","Grade 6",17
"2019-2020",14,"FISHER COUNTY","Male","Grade 6",31
"2019-2020",14,"FISHER COUNTY","Female","Grade 7",24
"2019-2020",14,"FISHER COUNTY","Male","Grade 7",12
"2019-2020",14,"FISHER COUNTY","Female","Grade 8",19
"2019-2020",14,"FISHER COUNTY","Male","Grade 8",27
"2019-2020",14,"FISHER COUNTY","Female","Grade 9",24
"2019-2020",14,"FISHER COUNTY","Male","Grade 9",20
"2019-2020",14,"FISHER COUNTY","Female","Grade 10",8
"2019-2020",14,"FISHER COUNTY","Male","Grade 10",15
"2019-2020",14,"FISHER COUNTY","Female","Grade 11",15
"2019-2020",14,"FISHER COUNTY","Male","Grade 11",16
"2019-2020",14,"FISHER COUNTY","Female","Grade 12",20
"2019-2020",14,"FISHER COUNTY","Male","Grade 12",15
"2019-2020",17,"FLOYD COUNTY","Female","Early Education",3
"2019-2020",17,"FLOYD COUNTY","Male","Early Education",5
"2019-2020",17,"FLOYD COUNTY","Female","Pre-kindergarten",42
"2019-2020",17,"FLOYD COUNTY","Male","Pre-kindergarten",40
"2019-2020",17,"FLOYD COUNTY","Female","Kindergarten",27
"2019-2020",17,"FLOYD COUNTY","Male","Kindergarten",30
"2019-2020",17,"FLOYD COUNTY","Female","Grade 1",36
"2019-2020",17,"FLOYD COUNTY","Male","Grade 1",37
"2019-2020",17,"FLOYD COUNTY","Female","Grade 2",35
"2019-2020",17,"FLOYD COUNTY","Male","Grade 2",44
"2019-2020",17,"FLOYD COUNTY","Female","Grade 3",54
"2019-2020",17,"FLOYD COUNTY","Male","Grade 3",36
"2019-2020",17,"FLOYD COUNTY","Female","Grade 4",34
"2019-2020",17,"FLOYD COUNTY","Male","Grade 4",44
"2019-2020",17,"FLOYD COUNTY","Female","Grade 5",55
"2019-2020",17,"FLOYD COUNTY","Male","Grade 5",33
"2019-2020",17,"FLOYD COUNTY","Female","Grade 6",45
"2019-2020",17,"FLOYD COUNTY","Male","Grade 6",56
"2019-2020",17,"FLOYD COUNTY","Female","Grade 7",41
"2019-2020",17,"FLOYD COUNTY","Male","Grade 7",43
"2019-2020",17,"FLOYD COUNTY","Female","Grade 8",45
"2019-2020",17,"FLOYD COUNTY","Male","Grade 8",51
"2019-2020",17,"FLOYD COUNTY","Female","Grade 9",42
"2019-2020",17,"FLOYD COUNTY","Male","Grade 9",54
"2019-2020",17,"FLOYD COUNTY","Female","Grade 10",29
"2019-2020",17,"FLOYD COUNTY","Male","Grade 10",51
"2019-2020",17,"FLOYD COUNTY","Female","Grade 11",39
"2019-2020",17,"FLOYD COUNTY","Male","Grade 11",42
"2019-2020",17,"FLOYD COUNTY","Female","Grade 12",25
"2019-2020",17,"FLOYD COUNTY","Male","Grade 12",33
"2019-2020",09,"FOARD COUNTY","Female","Pre-kindergarten",8
"2019-2020",09,"FOARD COUNTY","Male","Pre-kindergarten",11
"2019-2020",09,"FOARD COUNTY","Female","Kindergarten",7
"2019-2020",09,"FOARD COUNTY","Male","Kindergarten",10
"2019-2020",09,"FOARD COUNTY","Female","Grade 1",10
"2019-2020",09,"FOARD COUNTY","Male","Grade 1",3
"2019-2020",09,"FOARD COUNTY","Female","Grade 2",15
"2019-2020",09,"FOARD COUNTY","Male","Grade 2",5
"2019-2020",09,"FOARD COUNTY","Female","Grade 3",3
"2019-2020",09,"FOARD COUNTY","Male","Grade 3",10
"2019-2020",09,"FOARD COUNTY","Female","Grade 4",12
"2019-2020",09,"FOARD COUNTY","Male","Grade 4",3
"2019-2020",09,"FOARD COUNTY","Female","Grade 5",10
"2019-2020",09,"FOARD COUNTY","Male","Grade 5",4
"2019-2020",09,"FOARD COUNTY","Female","Grade 6",7
"2019-2020",09,"FOARD COUNTY","Male","Grade 6",5
"2019-2020",09,"FOARD COUNTY","Female","Grade 7",5
"2019-2020",09,"FOARD COUNTY","Male","Grade 7",10
"2019-2020",09,"FOARD COUNTY","Female","Grade 8",9
"2019-2020",09,"FOARD COUNTY","Male","Grade 8",10
"2019-2020",09,"FOARD COUNTY","Female","Grade 9",9
"2019-2020",09,"FOARD COUNTY","Male","Grade 9",6
"2019-2020",09,"FOARD COUNTY","Female","Grade 10",8
"2019-2020",09,"FOARD COUNTY","Male","Grade 10",14
"2019-2020",09,"FOARD COUNTY","Female","Grade 11",8
"2019-2020",09,"FOARD COUNTY","Male","Grade 11",5
"2019-2020",09,"FOARD COUNTY","Female","Grade 12",13
"2019-2020",09,"FOARD COUNTY","Male","Grade 12",10
"2019-2020",04,"FORT BEND COUNTY","Female","Early Education",241
"2019-2020",04,"FORT BEND COUNTY","Male","Early Education",503
"2019-2020",04,"FORT BEND COUNTY","Female","Pre-kindergarten",1540
"2019-2020",04,"FORT BEND COUNTY","Male","Pre-kindergarten",1447
"2019-2020",04,"FORT BEND COUNTY","Female","Kindergarten",3838
"2019-2020",04,"FORT BEND COUNTY","Male","Kindergarten",4073
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 1",3977
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 1",4266
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 2",4022
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 2",4358
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 3",4138
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 3",4411
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 4",4199
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 4",4575
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 5",4498
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 5",4700
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 6",4444
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 6",4808
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 7",4613
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 7",4765
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 8",4442
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 8",4782
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 9",4703
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 9",5377
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 10",4516
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 10",4793
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 11",4543
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 11",4681
"2019-2020",04,"FORT BEND COUNTY","Female","Grade 12",4176
"2019-2020",04,"FORT BEND COUNTY","Male","Grade 12",4326
"2019-2020",08,"FRANKLIN COUNTY","Female","Early Education",1
"2019-2020",08,"FRANKLIN COUNTY","Male","Early Education",9
"2019-2020",08,"FRANKLIN COUNTY","Female","Pre-kindergarten",26
"2019-2020",08,"FRANKLIN COUNTY","Male","Pre-kindergarten",22
"2019-2020",08,"FRANKLIN COUNTY","Female","Kindergarten",57
"2019-2020",08,"FRANKLIN COUNTY","Male","Kindergarten",44
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 1",43
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 1",53
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 2",60
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 2",46
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 3",50
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 3",66
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 4",53
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 4",50
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 5",61
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 5",54
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 6",64
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 6",71
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 7",66
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 7",67
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 8",57
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 8",65
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 9",66
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 9",65
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 10",71
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 10",65
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 11",45
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 11",60
"2019-2020",08,"FRANKLIN COUNTY","Female","Grade 12",57
"2019-2020",08,"FRANKLIN COUNTY","Male","Grade 12",64
"2019-2020",12,"FREESTONE COUNTY","Female","Early Education",3
"2019-2020",12,"FREESTONE COUNTY","Male","Early Education",6
"2019-2020",12,"FREESTONE COUNTY","Female","Pre-kindergarten",74
"2019-2020",12,"FREESTONE COUNTY","Male","Pre-kindergarten",90
"2019-2020",12,"FREESTONE COUNTY","Female","Kindergarten",118
"2019-2020",12,"FREESTONE COUNTY","Male","Kindergarten",113
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 1",136
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 1",145
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 2",122
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 2",114
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 3",134
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 3",132
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 4",125
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 4",124
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 5",149
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 5",148
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 6",132
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 6",151
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 7",152
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 7",163
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 8",128
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 8",152
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 9",136
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 9",135
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 10",135
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 10",119
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 11",121
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 11",124
"2019-2020",12,"FREESTONE COUNTY","Female","Grade 12",111
"2019-2020",12,"FREESTONE COUNTY","Male","Grade 12",137
"2019-2020",20,"FRIO COUNTY","Female","Early Education",5
"2019-2020",20,"FRIO COUNTY","Male","Early Education",6
"2019-2020",20,"FRIO COUNTY","Female","Pre-kindergarten",86
"2019-2020",20,"FRIO COUNTY","Male","Pre-kindergarten",100
"2019-2020",20,"FRIO COUNTY","Female","Kindergarten",110
"2019-2020",20,"FRIO COUNTY","Male","Kindergarten",104
"2019-2020",20,"FRIO COUNTY","Female","Grade 1",103
"2019-2020",20,"FRIO COUNTY","Male","Grade 1",131
"2019-2020",20,"FRIO COUNTY","Female","Grade 2",114
"2019-2020",20,"FRIO COUNTY","Male","Grade 2",104
"2019-2020",20,"FRIO COUNTY","Female","Grade 3",118
"2019-2020",20,"FRIO COUNTY","Male","Grade 3",104
"2019-2020",20,"FRIO COUNTY","Female","Grade 4",98
"2019-2020",20,"FRIO COUNTY","Male","Grade 4",120
"2019-2020",20,"FRIO COUNTY","Female","Grade 5",129
"2019-2020",20,"FRIO COUNTY","Male","Grade 5",119
"2019-2020",20,"FRIO COUNTY","Female","Grade 6",123
"2019-2020",20,"FRIO COUNTY","Male","Grade 6",145
"2019-2020",20,"FRIO COUNTY","Female","Grade 7",97
"2019-2020",20,"FRIO COUNTY","Male","Grade 7",113
"2019-2020",20,"FRIO COUNTY","Female","Grade 8",108
"2019-2020",20,"FRIO COUNTY","Male","Grade 8",117
"2019-2020",20,"FRIO COUNTY","Female","Grade 9",125
"2019-2020",20,"FRIO COUNTY","Male","Grade 9",124
"2019-2020",20,"FRIO COUNTY","Female","Grade 10",106
"2019-2020",20,"FRIO COUNTY","Male","Grade 10",116
"2019-2020",20,"FRIO COUNTY","Female","Grade 11",93
"2019-2020",20,"FRIO COUNTY","Male","Grade 11",109
"2019-2020",20,"FRIO COUNTY","Female","Grade 12",113
"2019-2020",20,"FRIO COUNTY","Male","Grade 12",116
"2019-2020",17,"GAINES COUNTY","Female","Early Education",3
"2019-2020",17,"GAINES COUNTY","Male","Early Education",5
"2019-2020",17,"GAINES COUNTY","Female","Pre-kindergarten",91
"2019-2020",17,"GAINES COUNTY","Male","Pre-kindergarten",70
"2019-2020",17,"GAINES COUNTY","Female","Kindergarten",146
"2019-2020",17,"GAINES COUNTY","Male","Kindergarten",130
"2019-2020",17,"GAINES COUNTY","Female","Grade 1",142
"2019-2020",17,"GAINES COUNTY","Male","Grade 1",126
"2019-2020",17,"GAINES COUNTY","Female","Grade 2",133
"2019-2020",17,"GAINES COUNTY","Male","Grade 2",146
"2019-2020",17,"GAINES COUNTY","Female","Grade 3",127
"2019-2020",17,"GAINES COUNTY","Male","Grade 3",152
"2019-2020",17,"GAINES COUNTY","Female","Grade 4",153
"2019-2020",17,"GAINES COUNTY","Male","Grade 4",141
"2019-2020",17,"GAINES COUNTY","Female","Grade 5",134
"2019-2020",17,"GAINES COUNTY","Male","Grade 5",168
"2019-2020",17,"GAINES COUNTY","Female","Grade 6",132
"2019-2020",17,"GAINES COUNTY","Male","Grade 6",155
"2019-2020",17,"GAINES COUNTY","Female","Grade 7",131
"2019-2020",17,"GAINES COUNTY","Male","Grade 7",146
"2019-2020",17,"GAINES COUNTY","Female","Grade 8",135
"2019-2020",17,"GAINES COUNTY","Male","Grade 8",154
"2019-2020",17,"GAINES COUNTY","Female","Grade 9",133
"2019-2020",17,"GAINES COUNTY","Male","Grade 9",133
"2019-2020",17,"GAINES COUNTY","Female","Grade 10",145
"2019-2020",17,"GAINES COUNTY","Male","Grade 10",143
"2019-2020",17,"GAINES COUNTY","Female","Grade 11",137
"2019-2020",17,"GAINES COUNTY","Male","Grade 11",114
"2019-2020",17,"GAINES COUNTY","Female","Grade 12",104
"2019-2020",17,"GAINES COUNTY","Male","Grade 12",120
"2019-2020",04,"GALVESTON COUNTY","Female","Early Education",163
"2019-2020",04,"GALVESTON COUNTY","Male","Early Education",361
"2019-2020",04,"GALVESTON COUNTY","Female","Pre-kindergarten",1409
"2019-2020",04,"GALVESTON COUNTY","Male","Pre-kindergarten",1451
"2019-2020",04,"GALVESTON COUNTY","Female","Kindergarten",2860
"2019-2020",04,"GALVESTON COUNTY","Male","Kindergarten",2936
"2019-2020",04,"GALVESTON COUNTY","Female","Grade 1",2778
"2019-2020",04,"GALVESTON COUNTY","Male","Grade 1",3030
"2019-2020",04,"GALVESTON COUNTY","Female","Grade 2",2810
"2019-2020",04,"GALVESTON COUNTY","Male","Grade 2",3025
"2019-2020",04,"GALVESTON COUNTY","Female","Grade 3",2938
"2019-2020",04,"GALVESTON COUNTY","Male","Grade 3",2957
"2019-2020",04,"GALVESTON COUNTY","Female","Grade 4",3050
"2019-2020",04,"GALVESTON COUNTY","Male","Grade 4",3079
"2019-2020",04,"GALVESTON COUNTY","Female","Grade 5",3040
"2019-2020",04,"GALVESTON COUNTY","Male","Grade 5",3236
"2019-2020",04,"GALVESTON COUNTY","Female","Grade 6",3108
"2019-2020",04,"GALVESTON COUNTY","Male","Grade 6",3311
"2019-2020",04,"GALVESTON COUNTY","Female","Grade 7",3199
"2019-2020",04,"GALVESTON COUNTY","Male","Grade 7",3301
